sample1_id,sample2_id,sample1_filename,sample2_filename,sample1_run_date,sample2_run_date,correlation,group,outlier_status
32,53,13C_soil_wheat_pot32_0wk.dpt,13C_soil_wheat_pot53_10wk.dpt,12/9/24,12/9/24,0.9961479668897057,wheat_soil_all_timepoints,Normal
119,87,13C_soil_rice_pot119_10wk.dpt,13C_soil_rice_pot87_10wk.dpt,12/9/24,12/9/24,0.9965675557275578,rice_soil_all_timepoints,Normal
119,87,13C_soil_rice_pot119_10wk.dpt,13C_soil_rice_pot87_10wk.dpt,12/5/24,12/5/24,0.9967397867162948,rice_root_all_timepoints,Normal
50,94,13C_soil_soybean_pot50_0wk.dpt,13C_soil_soybean_pot94_10wk.dpt,12/9/24,12/9/24,0.9971074177480925,soy_soil_all_timepoints,Normal
28,53,13C_soil_soybean_pot28_0wk.dpt,13C_soil_wheat_pot53_10wk.dpt,12/9/24,12/9/24,0.997268342466858,wheat_soil_all_timepoints,Normal
28,32,13C_soil_soybean_pot28_0wk.dpt,13C_soil_wheat_pot32_0wk.dpt,12/9/24,12/9/24,0.9980172074804612,wheat_soil_all_timepoints,Normal
72,72,12C_soil_noplant_pot72_256scans.dpt,13C_soil_noplant_pot72_0wk.dpt,12/5/24,12/9/24,1.0,noPlant_soil_all_timepoints,Normal
50,62,13C_soil_soybean_pot50_0wk.dpt,13C_soil_soybean_pot62_0wk.dpt,12/5/24,12/9/24,0.9239905379725221,soy_soil_all_timepoints,Outlier
62,80,13C_soil_soybean_pot62_0wk.dpt,13C_soil_soybean_pot80_10wk.dpt,12/9/24,12/9/24,0.9266224160642661,soy_soil_all_timepoints,Outlier
28,1,13C_soil_wheat_pot28_0wk.dpt,13C_soil_wheat_pot1_0wk.dpt,12/5/24,12/9/24,0.9370825585174866,wheat_soil_all_timepoints,Outlier
